Time (s),F43 (N),L43 (mm),F44 (N),L44 (mm),F45 (N),L45 (mm),F47 (N),L47 (mm),F49 (N),L49 (mm),F50 (N),L50 (mm)
0.88,0.4791,0.05,7.5845,9.102,3.0211,5.9652,1.2567,3.02,0.3109,-0.0616,0.6089,-0.0033
0.89,0.667,-0.0247,7.2933,9.0053,2.9716,6.0437,1.1612,3.0155,0.4454,0.0185,0.6132,-0.0443
0.9,0.4086,-0.0689,7.4778,9.0787,3.1735,6.0975,1.1233,3.0215,0.4741,-0.0249,0.5876,-0.0246
0.91,0.545,-0.0002,7.3829,9.0386,3.1048,6.0368,1.2555,3.0217,0.4203,0.0391,0.6346,0.015
0.92,0.5241,-0.0169,7.272,9.0253,2.986,6.1029,1.129,3.021,0.6177,0.1062,0.6257,0.0178
0.93,0.422,0.0039,7.478,9.0972,3.1442,6.0828,1.228,3.0294,0.398,0.0347,0.551,0.0193
0.94,0.7551,0.0605,7.3363,9.0693,3.059,6.0021,1.2141,3.0642,0.5336,0.057,0.7137,0.0372
0.95,0.4794,-0.0493,7.4673,9.1216,3.0789,6.067,1.0499,2.9644,0.4636,-0.0351,0.5877,-0.0191
0.96,0.691,0.0032,7.8067,9.1438,3.0424,6.0323,1.5498,3.0664,0.3416,-0.0332,1.0772,-0.0442
0.97,1.34,-0.0792,8.3898,9.0444,3.5732,6.074,2.0931,3.0124,0.5224,0.001,1.6525,-0.0038
0.98,1.5828,-0.0493,8.9619,9.0699,4.451,6.1016,2.7148,3.0042,0.3763,0.0228,2.1405,-0.0464
0.99,2.5194,0.0383,9.5622,9.0422,4.978,6.0178,3.7271,3.067,0.4363,0.0403,3.1793,0.0216
1,3.45,-0.0036,10.4193,9.0419,5.8317,6.0806,4.583,2.9892,0.5536,0.0693,4.1827,-0.0208
1.01,4.426,0.0572,11.2895,9.098,6.8,6.0405,5.5984,3.0968,0.4906,-0.0222,5.159,0.0081
1.02,5.3656,0.0858,11.9115,9.0408,7.4281,6.0156,6.48,2.9903,0.4862,0.0522,6.3989,0.03
1.03,6.3751,0.0108,12.947,9.1339,8.3607,6.0695,7.4432,2.9461,0.4223,0.0369,7.332,-0.0123
1.04,7.4542,-0.0103,13.6325,9.1585,9.2622,6.0156,8.4561,3.0297,0.339,-0.0493,8.3618,0.0106
1.05,8.2412,-0.0193,14.0455,9.0418,9.944,6.0611,9.195,3.0514,0.545,-0.0215,9.365,-0.0306
1.06,9.1513,-0.05,14.8413,9.0888,10.8694,6.1082,10.188,3.0875,0.4619,-0.018,10.1625,-0.049
1.07,9.9684,0.0123,15.2712,9.0297,11.4547,6.029,11.0235,3.0911,0.5083,0.0174,11.0947,0.0151
1.08,10.6614,-0.0413,15.4464,9.031,12.1234,6.0895,11.555,3.0175,0.5684,0.0725,11.848,-0.0378
1.09,11.5096,0.0177,16.1775,9.1047,12.6281,6.0138,12.2392,3.0327,0.4161,-0.0078,12.5223,0.0378
1.1,12.288,0.0433,16.5353,9.0481,13.1167,6.0071,12.7796,3.0074,0.5218,0.0035,13.271,0.06
1.11,12.654,-0.0207,16.8803,9.1207,13.753,6.0708,13.2098,2.9787,0.397,-0.0442,13.7672,-0.0123
1.12,13.289,0.0117,17.415,9.1075,14.021,6.0313,13.899,3.034,0.3955,-0.0505,14.338,0.0244
1.13,13.6631,-0.0409,17.4416,9.0046,14.5511,6.0855,14.2579,3.0047,0.52,0.0025,14.8257,-0.0026
1.14,13.9854,-0.0548,17.732,9.033,15.0136,6.1254,14.68,3.0458,0.4472,0.008,15.149,-0.067
1.15,14.6531,0.0341,17.9519,9.0167,15.2429,6.0165,15.2406,3.0779,0.473,0.0677,15.6643,0.0009
1.16,14.9854,0.0186,18.1381,9.0446,15.6702,6.0842,15.4781,3.0046,0.6993,0.0523,15.9867,0.0092
1.17,15.2138,0.0572,18.3241,9.0889,15.8338,5.9604,15.779,3.0551,0.545,0.0009,16.2298,0.0276
1.18,15.7506,0.0207,18.4782,9.0079,15.9888,5.996,16.0495,2.9773,0.4429,0.0339,16.7374,0.0102
1.19,15.9747,-0.0039,18.8033,9.119,16.4336,6.0597,16.2451,2.9631,0.436,-0.02,16.9352,0.0007
1.2,16.0514,0.013,18.977,9.1101,16.561,6.005,16.56,3.0055,0.3419,-0.0274,17.2204,0.0125
1.21,16.4985,-0.0167,18.9956,9.0458,16.866,6.0591,16.8962,3.0116,0.5102,-0.0051,17.4361,-0.0485
1.22,16.5517,-0.0209,19.2227,9.0851,17.183,6.0986,16.951,3.0557,0.4704,-0.0061,17.5765,-0.0588
1.23,16.9916,0.0314,19.1831,9.0377,17.219,6.0841,17.2811,3.0241,0.4932,0.0244,17.9233,-0.0066
1.24,17.195,0.0123,19.3063,9.0422,17.3932,6.078,17.341,2.9751,0.5305,0.0383,18.1121,0.0068
1.25,17.3897,0.0977,19.6374,9.0922,17.5591,6.0055,17.7311,3.0294,0.4628,-0.0449,18.2823,-0.0169
1.26,17.682,0.0514,19.657,9.0756,17.6417,5.9807,17.653,2.9998,0.5415,0.0123,18.5495,0.0449
1.27,17.7213,-0.0543,19.897,9.1047,17.8274,6.077,17.8347,2.9702,0.4565,-0.0557,18.6503,-0.004
1.28,17.8831,0.0019,20.0419,9.108,18.0345,6.024,18.2028,3.0499,0.3352,-0.0633,18.8101,-0.0314
1.29,18.1389,-0.0329,19.9481,9.0554,18.2564,6.0963,18.2245,2.9466,0.4896,0.0181,19.0994,0.006
1.3,18.0777,-0.0717,20.0548,9.0854,18.4299,6.0946,18.4382,3.1155,0.471,0.0079,19.0961,-0.0601
1.31,18.3268,0.0693,20.14,9.0122,18.428,6.0005,18.6991,3.0595,0.5169,0.037,19.298,0.0103
1.32,18.4067,0.0056,20.1906,9.036,18.6558,6.0681,18.5615,3.0077,0.6193,0.0404,19.3346,-0.0163
